ปี,เดือน,ปริมาณฝน (มม.),จังหวัด
2557,ม.ค.,0.0,แพร่
2557,ก.พ.,1.74,แพร่
2557,มี.ค.,16.15,แพร่
2557,เม.ย.,93.09,แพร่
2557,พ.ค.,186.64,แพร่
2557,มิ.ย.,168.49,แพร่
2557,ก.ค.,175.7,แพร่
2557,ส.ค.,222.9,แพร่
2557,ก.ย.,147.65,แพร่
2557,ต.ค.,58.47,แพร่
2557,พ.ย.,42.24,แพร่
2557,ธ.ค.,0.06,แพร่
2558,ม.ค.,58.33,แพร่
2558,ก.พ.,9.79,แพร่
2558,มี.ค.,28.83,แพร่
2558,เม.ย.,75.13,แพร่
2558,พ.ค.,90.36,แพร่
2558,มิ.ย.,82.19,แพร่
2558,ก.ค.,138.29,แพร่
2558,ส.ค.,185.28,แพร่
2558,ก.ย.,115.94,แพร่
2558,ต.ค.,90.62,แพร่
2558,พ.ย.,8.56,แพร่
2558,ธ.ค.,54.8,แพร่
2559,ม.ค.,47.6,แพร่
2559,ก.พ.,1.06,แพร่
2559,มี.ค.,0.35,แพร่
2559,เม.ย.,28.17,แพร่
2559,พ.ค.,124.44,แพร่
2559,มิ.ย.,134.44,แพร่
2559,ก.ค.,254.03,แพร่
2559,ส.ค.,251.51,แพร่
2559,ก.ย.,215.3,แพร่
2559,ต.ค.,116.78,แพร่
2559,พ.ย.,64.17,แพร่
2559,ธ.ค.,6.43,แพร่
2560,ม.ค.,42.1,แพร่
2560,ก.พ.,0.0,แพร่
2560,มี.ค.,40.26,แพร่
2560,เม.ย.,106.05,แพร่
2560,พ.ค.,232.64,แพร่
2560,มิ.ย.,119.29,แพร่
2560,ก.ค.,258.51,แพร่
2560,ส.ค.,221.75,แพร่
2560,ก.ย.,250.72,แพร่
2560,ต.ค.,127.38,แพร่
2560,พ.ย.,13.66,แพร่
2560,ธ.ค.,25.3,แพร่
2561,ม.ค.,17.96,แพร่
2561,ก.พ.,32.0,แพร่
2561,มี.ค.,23.35,แพร่
2561,เม.ย.,159.94,แพร่
2561,พ.ค.,174.48,แพร่
2561,มิ.ย.,127.78,แพร่
2561,ก.ค.,228.37,แพร่
2561,ส.ค.,160.83,แพร่
2561,ก.ย.,112.79,แพร่
2561,ต.ค.,75.99,แพร่
2561,พ.ย.,3.62,แพร่
2561,ธ.ค.,6.58,แพร่
2562,ม.ค.,31.09,แพร่
2562,ก.พ.,5.52,แพร่
2562,มี.ค.,6.31,แพร่
2562,เม.ย.,43.43,แพร่
2562,พ.ค.,167.0,แพร่
2562,มิ.ย.,74.12,แพร่
2562,ก.ค.,117.88,แพร่
2562,ส.ค.,370.88,แพร่
2562,ก.ย.,140.89,แพร่
2562,ต.ค.,44.89,แพร่
2562,พ.ย.,15.64,แพร่
2562,ธ.ค.,2.41,แพร่
2563,ม.ค.,0.01,แพร่
2563,ก.พ.,0.09,แพร่
2563,มี.ค.,3.76,แพร่
2563,เม.ย.,76.2,แพร่
2563,พ.ค.,130.58,แพร่
2563,มิ.ย.,173.81,แพร่
2563,ก.ค.,163.27,แพร่
2563,ส.ค.,400.38,แพร่
2563,ก.ย.,167.64,แพร่
2563,ต.ค.,66.1,แพร่
2563,พ.ย.,4.59,แพร่
2563,ธ.ค.,0.0,แพร่
2564,ม.ค.,0.24,แพร่
2564,ก.พ.,10.1,แพร่
2564,มี.ค.,5.66,แพร่
2564,เม.ย.,186.05,แพร่
2564,พ.ค.,121.12,แพร่
2564,มิ.ย.,54.34,แพร่
2564,ก.ค.,212.33,แพร่
2564,ส.ค.,178.52,แพร่
2564,ก.ย.,239.49,แพร่
2564,ต.ค.,128.69,แพร่
2564,พ.ย.,8.76,แพร่
2564,ธ.ค.,0.26,แพร่
2565,ม.ค.,22.19,แพร่
2565,ก.พ.,51.36,แพร่
2565,มี.ค.,42.95,แพร่
2565,เม.ย.,166.67,แพร่
2565,พ.ค.,203.18,แพร่
2565,มิ.ย.,72.27,แพร่
2565,ก.ค.,214.47,แพร่
2565,ส.ค.,225.99,แพร่
2565,ก.ย.,256.52,แพร่
2565,ต.ค.,107.03,แพร่
2565,พ.ย.,12.76,แพร่
2565,ธ.ค.,3.58,แพร่
2566,ม.ค.,0.66,แพร่
2566,ก.พ.,2.49,แพร่
2566,มี.ค.,15.04,แพร่
2566,เม.ย.,10.58,แพร่
2566,พ.ค.,114.81,แพร่
2566,มิ.ย.,102.78,แพร่
2566,ก.ค.,104.13,แพร่
2566,ส.ค.,82.15,แพร่
2566,ก.ย.,436.67,แพร่
2566,ต.ค.,217.06,แพร่
2566,พ.ย.,7.31,แพร่
2566,ธ.ค.,1.5,แพร่
2567,ม.ค.,5.36,แพร่
2567,ก.พ.,0.55,แพร่
2567,มี.ค.,24.91,แพร่
2567,เม.ย.,24.39,แพร่
2567,พ.ค.,235.11,แพร่
2567,มิ.ย.,144.72,แพร่
2567,ก.ค.,379.73,แพร่
2567,ส.ค.,316.12,แพร่
2567,ก.ย.,246.75,แพร่
2567,ต.ค.,94.01,แพร่
2567,พ.ย.,22.19,แพร่
2567,ธ.ค.,4.28,แพร่
2568,ม.ค.,0.0,แพร่
2568,ก.พ.,14.97,แพร่
2568,มี.ค.,2.7,แพร่
2568,เม.ย.,103.13,แพร่
2568,พ.ค.,331.19,แพร่
2568,มิ.ย.,115.6,แพร่
2568,ก.ค.,252.19,แพร่
2568,ส.ค.,260.78,แพร่
2568,ก.ย.,218.61,แพร่
2568,ต.ค.,101.13,แพร่
2568,พ.ย.,114.76,แพร่
2568,ธ.ค.,8.77,แพร่
