ปี,เดือน,จังหวัด,ปริมาณฝน
2550,มี.ค.,พะเยา,12.98
2550,เม.ย.,พะเยา,150.76
2550,พ.ค.,พะเยา,215.0
2550,มิ.ย.,พะเยา,157.41
2550,ก.ค.,พะเยา,152.11
2550,ส.ค.,พะเยา,191.44
2550,ก.ย.,พะเยา,205.08
2550,ต.ค.,พะเยา,158.42
2550,พ.ย.,พะเยา,17.69
2550,ธ.ค.,พะเยา,0.0
2551,ม.ค.,พะเยา,25.87
2551,ก.พ.,พะเยา,43.42
2551,มี.ค.,พะเยา,23.97
2551,เม.ย.,พะเยา,105.35
2551,พ.ค.,พะเยา,120.5
2551,มิ.ย.,พะเยา,169.68
2551,ก.ค.,พะเยา,285.65
2551,ส.ค.,พะเยา,276.96
2551,ก.ย.,พะเยา,173.72
2551,ต.ค.,พะเยา,156.25
2551,พ.ย.,พะเยา,26.02
2551,ธ.ค.,พะเยา,14.95
2552,ม.ค.,พะเยา,0.0
2552,ก.พ.,พะเยา,1.22
2552,มี.ค.,พะเยา,17.51
2552,เม.ย.,พะเยา,62.88
2552,พ.ค.,พะเยา,211.08
2552,มิ.ย.,พะเยา,157.5
2552,ก.ค.,พะเยา,172.86
2552,ส.ค.,พะเยา,206.79
2552,ก.ย.,พะเยา,143.77
2552,ต.ค.,พะเยา,77.24
2552,พ.ย.,พะเยา,0.73
2552,ธ.ค.,พะเยา,0.61
2553,ม.ค.,พะเยา,39.76
2553,ก.พ.,พะเยา,3.94
2553,มี.ค.,พะเยา,26.92
2553,เม.ย.,พะเยา,55.43
2553,พ.ค.,พะเยา,167.42
2553,มิ.ย.,พะเยา,117.27
2553,ก.ค.,พะเยา,207.54
2553,ส.ค.,พะเยา,388.52
2553,ก.ย.,พะเยา,247.29
2553,ต.ค.,พะเยา,143.65
2553,พ.ย.,พะเยา,0.02
2553,ธ.ค.,พะเยา,13.09
2554,ม.ค.,พะเยา,5.78
2554,ก.พ.,พะเยา,4.6
2554,มี.ค.,พะเยา,76.47
2554,เม.ย.,พะเยา,156.14
2554,พ.ค.,พะเยา,248.92
2554,มิ.ย.,พะเยา,266.13
2554,ก.ค.,พะเยา,300.56
2554,ส.ค.,พะเยา,303.42
2554,ก.ย.,พะเยา,275.7
2554,ต.ค.,พะเยา,89.01
2554,พ.ย.,พะเยา,8.94
2554,ธ.ค.,พะเยา,2.62
2555,ม.ค.,พะเยา,12.16
2555,ก.พ.,พะเยา,7.46
2555,มี.ค.,พะเยา,45.78
2555,เม.ย.,พะเยา,135.84
2555,พ.ค.,พะเยา,255.82
2555,มิ.ย.,พะเยา,131.9
2555,ก.ค.,พะเยา,172.04
2555,ส.ค.,พะเยา,192.37
2555,ก.ย.,พะเยา,219.76
2555,ต.ค.,พะเยา,55.97
2555,พ.ย.,พะเยา,89.7
2555,ธ.ค.,พะเยา,19.24
2556,ม.ค.,พะเยา,41.55
2556,ก.พ.,พะเยา,0.86
2556,มี.ค.,พะเยา,28.41
2556,เม.ย.,พะเยา,14.33
2556,พ.ค.,พะเยา,131.9
2556,มิ.ย.,พะเยา,142.73
2556,ก.ค.,พะเยา,227.08
2556,ส.ค.,พะเยา,250.72
2556,ก.ย.,พะเยา,211.12
2556,ต.ค.,พะเยา,127.05
2556,พ.ย.,พะเยา,78.4
2556,ธ.ค.,พะเยา,53.11
2557,ม.ค.,พะเยา,0.0
2557,ก.พ.,พะเยา,0.69
2557,มี.ค.,พะเยา,17.98
2557,เม.ย.,พะเยา,68.34
2557,พ.ค.,พะเยา,116.89
2557,มิ.ย.,พะเยา,120.15
2557,ก.ค.,พะเยา,248.22
2557,ส.ค.,พะเยา,295.46
2557,ก.ย.,พะเยา,199.46
2557,ต.ค.,พะเยา,83.24
2557,พ.ย.,พะเยา,57.06
2557,ธ.ค.,พะเยา,0.04
2558,ม.ค.,พะเยา,67.47
2558,ก.พ.,พะเยา,0.89
2558,มี.ค.,พะเยา,42.11
2558,เม.ย.,พะเยา,116.59
2558,พ.ค.,พะเยา,89.51
2558,มิ.ย.,พะเยา,61.33
2558,ก.ค.,พะเยา,187.92
2558,ส.ค.,พะเยา,163.21
2558,ก.ย.,พะเยา,159.45
2558,ต.ค.,พะเยา,60.41
2558,พ.ย.,พะเยา,39.54
2558,ธ.ค.,พะเยา,45.46
2559,ม.ค.,พะเยา,48.91
2559,ก.พ.,พะเยา,2.45
2559,มี.ค.,พะเยา,0.26
2559,เม.ย.,พะเยา,42.97
2559,พ.ค.,พะเยา,173.37
2559,มิ.ย.,พะเยา,165.97
2559,ก.ค.,พะเยา,183.68
2559,ส.ค.,พะเยา,279.39
2559,ก.ย.,พะเยา,217.21
2559,ต.ค.,พะเยา,136.06
2559,พ.ย.,พะเยา,65.09
2559,ธ.ค.,พะเยา,4.54
2560,ม.ค.,พะเยา,57.7
2560,ก.พ.,พะเยา,0.0
2560,มี.ค.,พะเยา,10.89
2560,เม.ย.,พะเยา,116.35
2560,พ.ค.,พะเยา,198.72
2560,มิ.ย.,พะเยา,116.27
2560,ก.ค.,พะเยา,270.44
2560,ส.ค.,พะเยา,284.11
2560,ก.ย.,พะเยา,186.82
2560,ต.ค.,พะเยา,139.78
2560,พ.ย.,พะเยา,7.01
2560,ธ.ค.,พะเยา,64.14
2561,ม.ค.,พะเยา,12.51
2561,ก.พ.,พะเยา,10.5
2561,มี.ค.,พะเยา,34.86
2561,เม.ย.,พะเยา,167.79
2561,พ.ค.,พะเยา,282.48
2561,มิ.ย.,พะเยา,167.28
2561,ก.ค.,พะเยา,244.78
2561,ส.ค.,พะเยา,231.39
2561,ก.ย.,พะเยา,188.34
2561,ต.ค.,พะเยา,149.83
2561,พ.ย.,พะเยา,11.02
2561,ธ.ค.,พะเยา,17.23
2562,ม.ค.,พะเยา,33.63
2562,ก.พ.,พะเยา,2.51
2562,มี.ค.,พะเยา,15.81
2562,เม.ย.,พะเยา,32.56
2562,พ.ค.,พะเยา,124.71
2562,มิ.ย.,พะเยา,51.81
2562,ก.ค.,พะเยา,190.87
2562,ส.ค.,พะเยา,389.32
2562,ก.ย.,พะเยา,83.87
2562,ต.ค.,พะเยา,55.24
2562,พ.ย.,พะเยา,8.79
2562,ธ.ค.,พะเยา,9.7
2563,ม.ค.,พะเยา,0.0
2563,ก.พ.,พะเยา,0.1
2563,มี.ค.,พะเยา,6.73
2563,เม.ย.,พะเยา,110.56
2563,พ.ค.,พะเยา,119.94
2563,มิ.ย.,พะเยา,147.59
2563,ก.ค.,พะเยา,102.62
2563,ส.ค.,พะเยา,321.45
2563,ก.ย.,พะเยา,132.66
2563,ต.ค.,พะเยา,34.08
2563,พ.ย.,พะเยา,22.57
2563,ธ.ค.,พะเยา,0.0
2564,ม.ค.,พะเยา,3.18
2564,ก.พ.,พะเยา,49.8
2564,มี.ค.,พะเยา,12.64
2564,เม.ย.,พะเยา,186.05
2564,พ.ค.,พะเยา,112.15
2564,มิ.ย.,พะเยา,164.94
2564,ก.ค.,พะเยา,166.08
2564,ส.ค.,พะเยา,222.5
2564,ก.ย.,พะเยา,190.25
2564,ต.ค.,พะเยา,158.74
2564,พ.ย.,พะเยา,18.99
2564,ธ.ค.,พะเยา,3.29
2565,ม.ค.,พะเยา,35.67
2565,ก.พ.,พะเยา,36.62
2565,มี.ค.,พะเยา,120.59
2565,เม.ย.,พะเยา,163.38
2565,พ.ค.,พะเยา,207.47
2565,มิ.ย.,พะเยา,140.86
2565,ก.ค.,พะเยา,225.73
2565,ส.ค.,พะเยา,274.18
2565,ก.ย.,พะเยา,292.33
2565,ต.ค.,พะเยา,130.03
2565,พ.ย.,พะเยา,22.5
2565,ธ.ค.,พะเยา,8.56
2566,ม.ค.,พะเยา,3.94
2566,ก.พ.,พะเยา,27.34
2566,มี.ค.,พะเยา,4.08
2566,เม.ย.,พะเยา,34.74
2566,พ.ค.,พะเยา,91.38
2566,มิ.ย.,พะเยา,163.1
2566,ก.ค.,พะเยา,158.37
2566,ส.ค.,พะเยา,156.07
2566,ก.ย.,พะเยา,255.23
2566,ต.ค.,พะเยา,188.7
2566,พ.ย.,พะเยา,10.78
2566,ธ.ค.,พะเยา,13.16
2567,ม.ค.,พะเยา,4.26
2567,ก.พ.,พะเยา,0.01
2567,มี.ค.,พะเยา,17.3
2567,เม.ย.,พะเยา,68.14
2567,พ.ค.,พะเยา,193.08
2567,มิ.ย.,พะเยา,165.53
2567,ก.ค.,พะเยา,258.11
2567,ส.ค.,พะเยา,563.26
2567,ก.ย.,พะเยา,317.54
2567,ต.ค.,พะเยา,110.09
2567,พ.ย.,พะเยา,21.02
2567,ธ.ค.,พะเยา,21.0
2568,ม.ค.,พะเยา,0.01
2568,ก.พ.,พะเยา,20.0
2568,มี.ค.,พะเยา,4.63
2568,เม.ย.,พะเยา,117.91
2568,พ.ค.,พะเยา,190.24
2568,มิ.ย.,พะเยา,134.85
2568,ก.ค.,พะเยา,476.1
2568,ส.ค.,พะเยา,200.26
2568,ก.ย.,พะเยา,184.17
2568,ต.ค.,พะเยา,129.87
2568,พ.ย.,พะเยา,91.5
2568,ธ.ค.,พะเยา,11.79
